GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.service.consumer,ExtendedDmaapConsumerHttpClientImpl,55,119,5,1,17,26,4,9,1,9
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.response,DMaaPConsumerResponseImpl,73,0,0,0,13,0,5,0,5,0
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.service.producer,ExtendedDmaapProducerHttpClientImpl,22,109,1,1,10,25,1,8,0,8
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.service,HttpUtils,15,0,4,0,2,0,4,0,2,0
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.service,DmaapHttpClientImpl,0,64,1,1,0,16,1,3,0,3
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.config,DmaapPublisherConfiguration,2,3,0,0,1,1,1,1,1,1
datafile-dmaap-client,org.onap.dcaegen2.services.datafile.config,DmaapConsumerConfiguration,2,3,0,0,1,1,1,1,1,1
