GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
datafile-aai-client,org.onap.dcaegen2.services.datafile.service,AAIClientImpl,8,87,1,3,2,25,2,3,1,2
datafile-aai-client,org.onap.dcaegen2.services.datafile.service,AAIConsumerClient,61,143,6,2,15,29,5,7,1,7
datafile-aai-client,org.onap.dcaegen2.services.datafile.service,AAIProducerClient,9,185,1,1,3,33,1,10,0,10
datafile-aai-client,org.onap.dcaegen2.services.datafile.config,AAIClientConfiguration,3,0,0,0,1,0,1,0,1,0
